,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1191786,"Rainfall partitioning, rainfall pulses and plant litter as drivers of greenhouse gas fluxes, microbial activity and microbial diversity in soils of Native Forest Ecosystems of Chile.",01/09/2018,01/09/2018,"J. Fuentes / R. Scherson, J. Caldentey, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
1,1161678,Short and long-term disturbances of sclerophyll ecosystems and their effects on rainfall partitioning and associated soil chemical and biophysical processes,01/06/2015,01/06/2015,"J. Fuentes / J. Caldentey, H. Bown, J. Pérez",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
2,1151304,Short and long-term disturbances of sclerophyll ecosystems and their effects on rainfall partitioning and associated soil chemical and biophysical processes,01/03/2015,01/03/2015,"J. Fuentes / J. Caldentey, J. Pérez, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
3,1121182,Rainfall partitioning and related soil processes as affected by long-term disturbances of sclerophyll ecosystems of Central Chile. An ecohydrological approach.,01/03/2012,01/03/2012,"J. Fuentes / J. Caldentey, J. Pérez, H. Bown",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
4,1050620,"Efecto del manejo silvícola de bosques de Nothofagus sobre propiedades bióticas y abióticas del suelo potencialmente utilizables como indicadores de calidad 
",01/06/2005,01/06/2005,J. Fuentes / J. Caldentey,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
5,1040715,"Crecimiento y acumulación de biomasa y carbono en bosques secundarios de Nothofagus en la Región de Magallanes 
",01/03/2004,01/03/2004,J. Caldentey / Ã. Promis,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
6,1030689,"Crecimiento en biomasa de rodales secundarios de Quillay intervenidos silviculturalmente en la VI Región.
",01/03/2003,01/03/2003,G. Cruz / J. Caldentey,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
7,1030686,"Crecimiento y acumulación de biomasa y carbono en bosques secundarios de Nothopfagus de la Región de Magallanes.

",01/03/2003,01/03/2003,J. Caldentey / Ã. Promis,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
8,D02I1080,Incorporación de los bosques de Coihue de Magallanes al manejo forestal para la diversificación e incremento de la producción en la XII Región,01/12/2002,01/12/2005,"G. Cruz / J. Caldentey, S. Donoso, H. Bown, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDEF Investigación y Desarrollo,Fondef X-ID
9,1020103,Evaluación del crecimiento en biomasa para la silvicultura de monte bajo de rodales de Quillay en la VI región,01/06/2002,01/06/2002,"G. Cruz / J. Caldentey, Ã. Promis",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
10,1000645,Efectos de la aplicación de cortas de protección sobre el microclima y el desarrollo del sotobosque y la regeneración en bosque de Lenga de la XII Región,01/03/2000,01/03/2003,"J. Caldentey / S. Donoso, Ã. Promis",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
11,1960936,Modificaciones microambientales debidas al manejo del bosque de Lenga en Magallanes,01/03/1996,01/03/1999,"J. Caldentey / S. Donoso, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
12,1940387,"Estimación del potencial productivo de bosques de lenga en Magallanes, para optimizar el uso de la madera, con intervenciones silviculturales",01/12/1994,01/12/1996,"J. Caldentey / G. Cruz, S. Donoso",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
13,D91S1006,Diseño y desarrollo de un sistema de prognosis y gestión para el control de incendios forestales,01/12/1992,01/03/1996,G. Julio / J. Caldentey,Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,Infraestructura y Servicios
14,ID21I10230,Desarrollo de modelos de impacto económico de especies invasoras para la elaboración de planes y programas de financiamiento para su control,01/04/2021,01/04/2021,"C. Cerda / C. Briceño, G. Cruz",Departamento de Gestión Forestal y su Medio Ambiente,FONDEF,IDEA
15,004/2018,Esquemas de plantaciones suplementarias de quillay para aumentar los recursos florares e incentivar su uso apícola en el marco de la Ley 20.283,01/09/2018,01/09/2021,G. Cruz,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
16,016/2014,"Raleos selectivos de árboles futuro en renovales de lenga, como alternativa para fortalezer la aplicación de los incentivos contenidos en la ley 20.283",01/11/2014,01/01/2016,G. Cruz,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
17,10PDTE-8961,"Difusión y transferencia de tecnologías de gestión apícola para optimizar la producción de miel, asegurando su trazabilidad a partir del bosque y matorral esclerófilo de la Región Metropolitana",01/12/2010,01/12/2010,G. Cruz,Departamento de Silvicultura y Conservación de la Naturaleza,INNOVA,Difusión Tecnológica
18,024/2010,"Estrategias silvícolas para incrementar la oferta de néctar  de chañar, para la alimentación del picaflor de Arica y el desarrollo apícola local",01/12/2010,01/12/2012,G. Cruz,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
19,07CN13A-44,"Gestión integral para el mejoramiento, diversificación e incremento de la producción apícola en la zona centro y centro sur de Chile",01/12/2007,01/12/2007,G. Cruz,Departamento de Silvicultura y Conservación de la Naturaleza,INNOVA,Innova-interés público y precompetitivo
20,1030689,"Crecimiento en biomasa de rodales secundarios de Quillay intervenidos silviculturalmente en la VI Región.
",01/03/2003,01/03/2003,G. Cruz / J. Caldentey,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
21,D02I1080,Incorporación de los bosques de Coihue de Magallanes al manejo forestal para la diversificación e incremento de la producción en la XII Región,01/12/2002,01/12/2005,"G. Cruz / J. Caldentey, S. Donoso, H. Bown, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDEF Investigación y Desarrollo,Fondef X-ID
22,1020103,Evaluación del crecimiento en biomasa para la silvicultura de monte bajo de rodales de Quillay en la VI región,01/06/2002,01/06/2002,"G. Cruz / J. Caldentey, Ã. Promis",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
23,1940387,"Estimación del potencial productivo de bosques de lenga en Magallanes, para optimizar el uso de la madera, con intervenciones silviculturales",01/12/1994,01/12/1996,"J. Caldentey / G. Cruz, S. Donoso",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
24,CONAF_2304,Evaluación de diferentes prácticas culturales para restaurar la cubierta vegetal en formaciones esclerófilas degradadas de las regiones de Coquimbo y Metropolitana,01/03/2023,01/03/2023,S. Donoso,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
25,051/2020,Evaluar actividades silviculturales que mejoren el desarrollo del bosque hidrófilo y favorezcan la incorporación de regeneración,01/08/2020,01/08/2023,"K. Peña, S. Donoso",Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
26,014/2016,Caracterización de bosques esclerófilos degradados y actividades silvícolas para su recuperación,01/09/2016,01/08/2020,S. Donoso / K. Peña,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
27,026/2015,Recuperación mediante plantación suplementaria de bosques mediterráneos degradados,01/03/2015,01/03/2015,S. Donoso,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
28,052/2010,Uso sustentable de hojas de boldo y piñones de araucaria,01/12/2010,01/12/2012,S. Donoso,Departamento de Silvicultura y Conservación de la Naturaleza,CONAF,Investigación del Bosque Nativo
29,208-7321,BIOCOMSA,01/12/2008,01/12/2013,"A. Piazza, C. de la Maza, Ã. Urzúa, R. Carmona, S. Donoso, H. Hernández, H. Bown, J. Fuentes, H. Ramírez, A. Huerta",Departamento de Desarrollo en Productos Forestales,INNOVA,Consorcios Tecnológicos Empresariales
30,IT2,Domeyko en Biodiversidad: Propuestas de modelos de gestión y conservación de la biodiversidad en bosques mediterráneos,01/03/2007,01/03/2010,"S. Donoso, P. Robert, Ã. Peña, K. Peña",Departamento Agroindustria y Enología,Fondo Central de Investigación,Programa Domeyko
31,D02I1080,Incorporación de los bosques de Coihue de Magallanes al manejo forestal para la diversificación e incremento de la producción en la XII Región,01/12/2002,01/12/2005,"G. Cruz / J. Caldentey, S. Donoso, H. Bown, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDEF Investigación y Desarrollo,Fondef X-ID
32,1020740,Efecto de los tratamientos silviculturales de corta sobre la regeneración en un bosque de Araucaria-Lenga,01/06/2002,01/06/2002,S. Donoso,Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
33,1000645,Efectos de la aplicación de cortas de protección sobre el microclima y el desarrollo del sotobosque y la regeneración en bosque de Lenga de la XII Región,01/03/2000,01/03/2003,"J. Caldentey / S. Donoso, Ã. Promis",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
34,1960936,Modificaciones microambientales debidas al manejo del bosque de Lenga en Magallanes,01/03/1996,01/03/1999,"J. Caldentey / S. Donoso, J. Fuentes",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
35,1940387,"Estimación del potencial productivo de bosques de lenga en Magallanes, para optimizar el uso de la madera, con intervenciones silviculturales",01/12/1994,01/12/1996,"J. Caldentey / G. Cruz, S. Donoso",Departamento de Silvicultura y Conservación de la Naturaleza,FONDECYT,Regular
36,1231458,Disentangling the mortality-growth relationship: evidence from the southernmost forest of the world,01/03/2023,01/03/2027,C. Salas / J. Fuentes,Facutad De Cs. Silvoagropecuarias,FONDECYT,Regular
37,ATE230031,"Chilean soil carbon and nitrogen grid: A framework for planning strategies in agriculture, forestry and natural ecosystems for mitigation and adaptation to climate change",01/06/2023,01/06/2023,"O. Salazar / M. Pfeiffer, Y. Tapia, J. Pérez, J. Fuentes, L. Renwick",Departamento de Ingeniería y Suelos,Programa de Investigación Asociativa,Anillo de Investigación en Ciencia y Tecnología Temático
38,1221789,"Assessing ecosystem services in a desert socio-ecological system in Atacama, Chile: a plural approach to create hybrid knowledge towards future policy making",01/04/2022,01/04/2025,"C. Cerda / A. Ocampo, J. Fuentes, J. Razeto",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
39,1211978,"Assessing ecosystem services in a desert socioecological system in Atacama, Chile: a plural approach",01/08/2020,01/08/2020,"C. Cerda / J. Razeto, J. Fuentes",Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
40,1211176,"Whole-tree canopy photosynthesis, transpiration and water use efficiency of five coexisting tree species of a temperate rain forest of south Chile",01/08/2020,01/08/2020,H. Bown / J. Fuentes,Departamento de Gestión Forestal y su Medio Ambiente,FONDECYT,Regular
